risk_rank,unique_work_number,state,constituency,mp_name,work_category,work_name,sanction_amount,date_of_administrative_approval,expected_completion_date,implementing_agency_name,work_status,peer_median,peer_count,peer_baseline,cost_deviation_pct,cost_risk,contractor_peer_count,contractor_project_count,contractor_concentration,contractor_risk,similar_project_id,similar_project_name,text_similarity,text_similarity_risk,cost_contribution,contractor_contribution,text_similarity_contribution,risk_score,risk_band,anomaly_score,anomaly_flag,top_risk_signal,risk_explanation,rf_anomaly_probability,rf_anomaly_prediction
274,WS/93695/2025/00097,Maharashtra,PUNE,RAVI SHANKAR PRASAD JI,Road Construction,"CC road construction at Vivekanand Marg ward, PUNE",1573136.25,2025-02-17,2025-08-30,Jai Hind Infrastructure,Sanctioned,1490771.79,6,constituency + work_category,5.524954292299826,1.841651430766609,6,2,0.3333333333333333,33.33333333333333,WS/67725/2024/00753,"CC road construction at Gandhi Chowk ward, PUNE",0.9358423928955758,93.58423928955759,0.828743143844974,9.999999999999998,23.396059822389397,34.22480296623437,Medium,52.27502527805864,False,Text Similarity,Project description has 0.94 semantic similarity with project WS/67725/2024/00753.,5.068197791257537,0
275,WS/86563/2023/00965,Bihar,GAYA,ADHIKARI SOUMENDU,Drainage / Nala,"Construction of drainage/nala near Kisan Nagar area, GAYA",825107.88,2023-08-01,2023-12-03,New India Construction Co.,Ongoing,762825.9,15,state + work_category,8.16463887762594,2.7215462925419804,15,4,0.26666666666666666,26.666666666666668,WS/53165/2023/00964,"Construction of drainage/nala near Kisan Nagar area, GAYA",1.0000000000000004,100.0,1.2246958316438912,8.0,25.0,34.22469583164389,Medium,62.99292214357938,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/53165/2023/00964.,18.939878364079217,0
276,WS/35369/2024/00505,Uttar Pradesh,KANPUR,VIKRAM SINGH RATHORE,Solar Light Installation,"Solar light installation near Andouli hanuman mandir, KANPUR",162967.53,2024-12-15,2025-06-12,Deep Construction Co.,New Recommendation,262181.08,6,constituency + work_category,-37.84161313241978,0.0,6,2,0.3333333333333333,33.33333333333333,WS/83724/2025/00696,"Solar light installation near Andouli hanuman mandir, ATTINGAL",0.9686206440062382,96.86206440062381,0.0,9.999999999999998,24.215516100155952,34.21551610015595,Medium,81.69868554095045,False,Text Similarity,Project description has 0.97 semantic similarity with project WS/83724/2025/00696.,3.2925741687737644,0
277,WS/83284/2023/00414,West Bengal,MURSHIDABAD,ANITA JOSHI,Road Construction,"Widening and strengthening of road near Bazaar Road village, MURSHIDABAD",2052773.42,2023-06-10,2023-09-24,United Rural Builders,New Recommendation,1708633.99,7,constituency + work_category,20.14120238823061,6.713734129410202,7,2,0.2857142857142857,28.57142857142857,WS/62642/2024/00597,"Widening and strengthening of road near Bazaar Road village, ATTINGAL",0.9049090965649569,90.49090965649569,3.021180358234591,8.571428571428571,22.622727414123922,34.21533634378709,Medium,72.4974721941355,False,Text Similarity,Project description has 0.90 semantic similarity with project WS/62642/2024/00597.,5.120069046754934,0
278,WS/78657/2024/00495,Kerala,IDUKKI,ABHIJIT GANGOPADHYAY,Road Construction,"CC road construction at Kisan Nagar ward, IDUKKI",994080.4,2024-07-04,2025-07-23,New India Construction Co.,Completed,1266207.67,6,constituency + work_category,-21.491519633584268,0.0,6,2,0.3333333333333333,33.33333333333333,WS/60956/2025/00559,"CC road construction at Ram Nagar ward, IDUKKI",0.9685101565129046,96.85101565129047,0.0,9.999999999999998,24.212753912822617,34.21275391282261,Medium,70.98078867542974,False,Text Similarity,Project description has 0.97 semantic similarity with project WS/60956/2025/00559.,3.704892389475219,0
279,WS/24442/2025/00984,Maharashtra,NAGPUR,MEERA IYER,Streetlight Installation,"Installation of streetlights at Andouli chowk, NAGPUR",585668.87,2025-06-20,2025-06-24,Bharat Infra Solutions,Completed,408970.885,30,state + work_category,43.20551694040518,14.401838980135059,30,5,0.16666666666666666,16.666666666666664,WS/25765/2024/00312,"Installation of streetlights at Ambedkar Colony chowk, NAGPUR",0.9092423198601428,90.92423198601428,6.480827541060776,4.999999999999999,22.73105799650357,34.21188553756434,Medium,52.78058645096056,False,Text Similarity,Project description has 0.91 semantic similarity with project WS/25765/2024/00312.,4.971951456236002,0
280,WS/93914/2025/00918,West Bengal,HOWRAH,ABHIJIT GANGOPADHYAY,Road Construction,"CC road construction at Gandhi Chowk ward, HOWRAH",1726638.08,2025-11-27,2026-09-23,Om Sai Infra Pvt Ltd,Ongoing,1703447.29,10,constituency + work_category,1.3614034397272154,0.45380114657573845,10,3,0.3,30.0,WS/79603/2025/00336,"CC road construction at Gandhi Chowk ward, HOWRAH",1.0000000000000004,100.0,0.2042105159590823,9.0,25.0,34.20421051595908,Medium,66.93629929221436,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/79603/2025/00336.,21.875167713533656,0
281,WS/42406/2025/00045,West Bengal,HOWRAH,RAVI SHANKAR PRASAD JI,School Building Repair,"Construction of additional classroom at Panchayat Bhavan Marg school, HOWRAH",1656091.34,2025-05-01,2026-02-28,Metro Civil Works Pvt Ltd,New Recommendation,1443853.62,7,constituency + work_category,14.699393142083196,4.899797714027732,7,2,0.2857142857142857,28.57142857142857,WS/41420/2025/00943,"Construction of additional classroom at Panchayat Bhavan Marg school, AURANGABAD_MH",0.9356592380155605,93.56592380155605,2.2049089713124794,8.571428571428571,23.391480950389013,34.16781849313006,Medium,45.80384226491405,False,Text Similarity,Project description has 0.94 semantic similarity with project WS/41420/2025/00943.,5.1962767976646305,0
282,WS/15737/2023/00456,Uttar Pradesh,VARANASI,ADV K FRANCIS GEORGE,School Building Repair,"Repair and renovation of Govt. School building at Shanti Nagar, VARANASI",1297265.5,2023-07-23,2023-11-09,United Rural Builders,Completed,1112755.5899999999,8,constituency + work_category,16.581350986518085,5.527116995506029,8,2,0.25,25.0,WS/11699/2025/00367,"Repair and renovation of Govt. School building at Kisan Nagar, VARANASI",0.9662202247298437,96.62202247298437,2.487202647977713,7.5,24.155505618246092,34.142708266223806,Medium,38.01820020222447,False,Text Similarity,Project description has 0.97 semantic similarity with project WS/11699/2025/00367.,5.2428215455543485,0
283,WS/15504/2023/00449,Bihar,AURANGABAD_BR,ADHIKARI SOUMENDU,Solar Light Installation,"Solar street light at Bazaar Road chowk parisar, AURANGABAD_BR",196635.02,2023-08-01,2024-04-19,Ganesh Engineering Works,Completed,298203.85,12,constituency + work_category,-34.06020076534894,0.0,12,4,0.3333333333333333,33.33333333333333,WS/70811/2023/00125,"Solar street light at Bazaar Road chowk parisar, BARAMULLAH",0.9655799113766935,96.55799113766935,0.0,9.999999999999998,24.139497784417337,34.13949778441734,Medium,77.85642062689585,False,Text Similarity,Project description has 0.97 semantic similarity with project WS/70811/2023/00125.,3.7703508180043768,0
284,WS/40154/2024/00573,Maharashtra,NANDURBAR(ST),MEERA IYER,Streetlight Installation,"Installation of streetlights at Ram Nagar chowk, NANDURBAR(ST)",410892.8,2024-06-03,2024-11-11,Deep Construction Co.,New Recommendation,433442.515,6,constituency + work_category,-5.2024695823851115,0.0,6,2,0.3333333333333333,33.33333333333333,WS/25806/2023/00259,"Installation of streetlights at Subhash Nagar chowk, NANDURBAR(ST)",0.9647545699534773,96.47545699534773,0.0,9.999999999999998,24.118864248836932,34.11886424883693,Medium,54.903943377148636,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/25806/2023/00259.,3.9674853575778775,0
285,WS/32833/2025/00298,Bihar,AURANGABAD_BR,ADHIKARI SOUMENDU,Water Supply / Handpump,"Water supply pipeline extension to Kisan Nagar area, AURANGABAD_BR",864085.47,2025-06-19,2026-07-11,Metro Civil Works Pvt Ltd,New Recommendation,589581.39,9,constituency + work_category,46.55914936528101,15.519716455093672,9,1,0.1111111111111111,11.11111111111111,WS/21086/2023/00851,"Water supply pipeline extension to Kisan Nagar area, ATTINGAL",0.9517176370697826,95.17176370697827,6.9838724047921525,3.333333333333333,23.792940926744567,34.11014666487005,Medium,45.39939332659252,False,Text Similarity,Project description has 0.95 semantic similarity with project WS/21086/2023/00851.,6.486266053554311,0
286,WS/39333/2025/00521,Maharashtra,NAGPUR,ADV GOWAAL KAGADA PADAVI,Water Supply / Handpump,"Water supply pipeline extension to Shanti Nagar area, NAGPUR",651093.03,2025-05-24,2026-03-18,Metro Civil Works Pvt Ltd,Ongoing,628713.88,7,constituency + work_category,3.5595126355409907,1.1865042118469968,7,2,0.2857142857142857,28.57142857142857,WS/85090/2024/00483,"Water supply pipeline extension to Shanti Nagar area, NAGPUR",0.9999999999999998,99.99999999999997,0.5339268953311486,8.571428571428571,24.999999999999993,34.10535546675971,Medium,65.11627906976744,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/85090/2024/00483.,11.750918688267504,0
287,WS/76954/2023/00243,Kerala,IDUKKI,ADV K FRANCIS GEORGE,Road Construction,"CC road construction at Subhash Nagar ward, IDUKKI",1205573.63,2023-07-29,2023-12-29,New India Construction Co.,Ongoing,1266207.67,6,constituency + work_category,-4.788633131562063,0.0,6,2,0.3333333333333333,33.33333333333333,WS/60956/2025/00559,"CC road construction at Ram Nagar ward, IDUKKI",0.9633062248459112,96.33062248459112,0.0,9.999999999999998,24.08265562114778,34.08265562114778,Medium,52.98281092012134,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/60956/2025/00559.,4.064014816819201,0
288,WS/39110/2025/00422,West Bengal,KANTHI,VIKRAM SINGH RATHORE,Drainage / Nala,"Construction of drainage/nala near Bazaar Road area, KANTHI",1185955.21,2025-10-24,2026-09-10,Bharat Infra Solutions,Sanctioned,899584.34,7,constituency + work_category,31.833687767397105,10.611229255799035,7,1,0.14285714285714285,14.285714285714285,WS/48729/2024/00679,"Construction of drainage/nala near Bazaar Road area, KANTHI",1.0000000000000004,100.0,4.775053165109566,4.285714285714286,25.0,34.06076745082385,Medium,59.656218402426695,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/48729/2024/00679.,17.510538753847747,0
289,WS/52432/2023/00924,Bihar,GAYA,PRIYA VERMA,Solar Light Installation,"Solar street light at Panchayat Bhavan Marg chowk parisar, GAYA",412822.75,2023-10-21,2024-01-28,Shree Balaji Construction Co.,Ongoing,288691.87,9,constituency + work_category,42.99770547746981,14.332568492489935,9,1,0.1111111111111111,11.11111111111111,WS/99300/2023/00671,"Solar street light at Panchayat Bhavan Marg chowk parisar, TAMLUK",0.9695346812066634,96.95346812066634,6.449655821620471,3.333333333333333,24.238367030166586,34.02135618512039,Medium,56.31951466127402,False,Text Similarity,Project description has 0.97 semantic similarity with project WS/99300/2023/00671.,5.681767112400924,0
290,WS/95964/2025/00892,Kerala,KOTTAYAM,ADV DEAN KURIAKOSE,Solar Light Installation,"Solar light installation near Shanti Nagar hanuman mandir, KOTTAYAM",417444.63,2025-06-26,2025-10-03,Shree Balaji Construction Co.,Ongoing,293516.93,9,constituency + work_category,42.2216531087321,14.073884369577366,9,1,0.1111111111111111,11.11111111111111,WS/78732/2024/00215,"Solar light installation near Shanti Nagar hanuman mandir, AURANGABAD_BR",0.9739607516099325,97.39607516099325,6.3332479663098145,3.333333333333333,24.349018790248312,34.015600089891464,Medium,58.948432760364,False,Text Similarity,Project description has 0.97 semantic similarity with project WS/78732/2024/00215.,5.002773178363099,0
291,WS/98288/2024/00242,Uttar Pradesh,KANPUR,PRIYA VERMA,Streetlight Installation,"Installation of streetlights at Kisan Nagar chowk, KANPUR",201404.43,2024-03-26,2025-01-14,Jai Hind Infrastructure,Ongoing,383496.405,10,constituency + work_category,-47.482055275068355,0.0,10,3,0.3,30.0,WS/57124/2025/00233,"Installation of streetlights at Kisan Nagar chowk, KANPUR",1.0000000000000004,100.0,0.0,9.0,25.0,34.0,Medium,90.19211324570273,True,Text Similarity,Project description has 1.00 semantic similarity with project WS/57124/2025/00233.,20.718386403101352,0
292,WS/23621/2023/00376,Jammu And Kashmir,JAMMU,RAVI SHANKAR PRASAD JI,Road Construction,"CC road construction at Gandhi Chowk ward, JAMMU",1865786.23,2023-11-02,2024-11-18,Ganesh Engineering Works,Sanctioned,1597751.75,8,constituency + work_category,16.775727518370733,5.591909172790245,8,2,0.25,25.0,WS/83563/2023/00002,"CC road construction at Gandhi Chowk ward, KANPUR",0.959045210722492,95.90452107224921,2.51635912775561,7.5,23.976130268062303,33.99248939581791,Medium,31.14256825075834,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/83563/2023/00002.,5.161806009720752,0
293,WS/31299/2023/00173,West Bengal,HOWRAH,ABU TAHER KHAN,Streetlight Installation,"LED streetlight installation along Subhash Nagar road, HOWRAH",551909.26,2023-08-22,2024-04-05,Jai Hind Infrastructure,New Recommendation,427198.58,5,constituency + work_category,29.192671941933884,9.730890647311295,5,1,0.2,20.0,WS/93422/2025/00710,"LED streetlight installation along Subhash Nagar road, KANPUR",0.9445252790665951,94.45252790665951,4.378900791290083,6.0,23.613131976664878,33.99203276795496,Medium,19.009100101112235,False,Text Similarity,Project description has 0.94 semantic similarity with project WS/93422/2025/00710.,5.78329293767927,0
294,WS/66881/2024/00087,Uttar Pradesh,BADAUN,ADV ADOOR PRAKASH,Water Supply / Handpump,"Installation of handpump at Ram Nagar village, BADAUN",679079.7,2024-01-20,2024-07-14,Deep Construction Co.,Completed,719185.46,9,constituency + work_category,-5.576553230094503,0.0,9,3,0.3333333333333333,33.33333333333333,WS/44099/2025/00051,"Installation of handpump at Subhash Nagar village, BADAUN",0.9591069393119362,95.91069393119362,0.0,9.999999999999998,23.977673482798405,33.9776734827984,Medium,50.15166835187057,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/44099/2025/00051.,4.1031364884109465,0
295,WS/83695/2024/00630,West Bengal,TAMLUK,VIKRAM SINGH RATHORE,Water Supply / Handpump,"Installation of handpump at Shanti Nagar village, TAMLUK",587648.73,2024-10-04,2025-09-21,Metro Civil Works Pvt Ltd,Sanctioned,412863.83,27,state + work_category,42.33475720069737,14.11158573356579,27,3,0.1111111111111111,11.11111111111111,WS/67377/2024/00073,"Installation of handpump at Ram Nagar village, TAMLUK",0.9710348105445665,97.10348105445665,6.350213580104605,3.333333333333333,24.275870263614163,33.9594171770521,Medium,57.0273003033367,False,Text Similarity,Project description has 0.97 semantic similarity with project WS/67377/2024/00073.,4.97499540058532,0
296,WS/84991/2025/00163,Uttar Pradesh,BADAUN,AASHTIKAR PATIL NAGESH BAPURAO,Road Construction,"CC road construction at Subhash Nagar ward, BADAUN",877285.07,2025-01-16,2026-01-06,Bharat Infra Solutions,Ongoing,1251443.99,6,constituency + work_category,-29.898175466886062,0.0,6,2,0.3333333333333333,33.33333333333333,WS/23970/2023/00406,"CC road construction at Shanti Nagar ward, BADAUN",0.9565302583926415,95.65302583926415,0.0,9.999999999999998,23.913256459816036,33.91325645981603,Medium,69.16076845298281,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/23970/2023/00406.,3.9060019488374462,0
297,WS/88231/2023/00250,Uttar Pradesh,LUCKNOW,ADITYA YADAV,Solar Light Installation,"Solar street light at Station Road chowk parisar, LUCKNOW",172429.95,2023-05-31,2024-05-16,New India Construction Co.,New Recommendation,290270.605,6,constituency + work_category,-40.59682688159209,0.0,6,2,0.3333333333333333,33.33333333333333,WS/24769/2023/00570,"Solar street light at Shanti Nagar chowk parisar, LUCKNOW",0.9558024430852116,95.58024430852116,0.0,9.999999999999998,23.89506107713029,33.895061077130286,Medium,76.33973710819009,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/24769/2023/00570.,3.606001948837446,0
298,WS/30892/2023/00349,West Bengal,HOWRAH,SANJAY DESHMUKH,Water Supply / Handpump,"Water supply pipeline extension to Ram Nagar area, HOWRAH",820286.72,2023-09-18,2024-01-13,National Builders & Contractors,Completed,714243.84,9,constituency + work_category,14.846873583116938,4.94895786103898,9,2,0.2222222222222222,22.22222222222222,WS/59412/2023/00232,"Water supply pipeline extension to Ram Nagar area, HOWRAH",0.9999999999999998,99.99999999999997,2.227031037467541,6.666666666666666,24.999999999999993,33.8936977041342,Medium,54.70171890798786,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/59412/2023/00232.,10.463808163797102,0
299,WS/44782/2024/00105,Jammu And Kashmir,BARAMULLAH,RAJESH KUMAR SHARMA,Solar Light Installation,"Solar street light at Andouli chowk parisar, BARAMULLAH",375951.04,2024-11-23,2025-07-06,Shree Balaji Construction Co.,Ongoing,280850.19999999995,12,constituency + work_category,33.86176687785875,11.287255625952914,12,2,0.16666666666666666,16.666666666666664,WS/22358/2025/00465,"Solar street light at Andouli chowk parisar, AURANGABAD_BR",0.9524759645412554,95.24759645412554,5.079265031678812,4.999999999999999,23.811899113531386,33.8911641452102,Medium,12.841253791708795,False,Text Similarity,Project description has 0.95 semantic similarity with project WS/22358/2025/00465.,4.876427737714801,0
