unique_work_number,state,constituency,mp_name,work_category,work_name,sanction_amount,date_of_administrative_approval,expected_completion_date,implementing_agency_name,work_status
WS/48382/2024/00502,Maharashtra,HINGOLI,ADV GOWAAL KAGADA PADAVI,Community Hall,"Construction of community hall at Ambedkar Colony, HINGOLI",2421423.56,23-04-2024,26-07-2024,Sri Lakshmi Contractors,Completed
WS/55068/2025/00594,West Bengal,KANTHI,RAJESH KUMAR SHARMA,Drainage / Nala,"Covered drain construction from Shanti Nagar to Vivekanand Marg, KANTHI",484639.83,25-03-2025,10-06-2025,Progressive Engineers & Contractors,New Recommendation
WS/47700/2025/00112,Kerala,ATTINGAL,SANJAY DESHMUKH,Community Hall,"Multipurpose community centre building at Bazaar Road panchayat, ATTINGAL",3684018.43,19-11-2025,22-08-2026,Deep Construction Co.,Completed
WS/69270/2023/00285,Bihar,PATNA_SAHIB,ANITA JOSHI,Road Construction,"CC road construction at Station Road ward, PATNA_SAHIB",1951211.74,23-12-2023,20-05-2024,Shree Balaji Construction Co.,Sanctioned
WS/34688/2024/00327,Maharashtra,PUNE,ADV DEAN KURIAKOSE,Water Supply / Handpump,"Installation of handpump at Shanti Nagar village, PUNE",427595.95,09-01-2024,20-07-2024,Progressive Engineers & Contractors,New Recommendation
WS/38905/2024/00246,West Bengal,HOWRAH,SANJAY DESHMUKH,Water Supply / Handpump,"Water supply pipeline extension to Nehru Path area, HOWRAH",787924.26,13-08-2024,05-01-2025,Om Sai Infra Pvt Ltd,Completed
WS/47649/2025/00184,Maharashtra,AURANGABAD_MH,ADHIKARI SOUMENDU,School Building Repair,"Repair and renovation of Govt. School building at Vivekanand Marg, AURANGABAD_MH",1314049.92,18-09-2025,18-07-2026,Metro Civil Works Pvt Ltd,Ongoing
WS/59160/2024/00463,Bihar,PATNA_SAHIB,SANJAY DESHMUKH,Solar Light Installation,"Solar street light at Station Road chowk parisar, PATNA_SAHIB",354053.69,14-12-2024,15-06-2025,Jai Hind Infrastructure,Ongoing
WS/93948/2024/00239,Bihar,GAYA,SANJAY DESHMUKH,School Building Repair,"Construction of additional classroom at Panchayat Bhavan Marg school, GAYA",724597.77,19-05-2024,05-06-2025,National Builders & Contractors,Ongoing
WS/19116/2024/00005,West Bengal,TAMLUK,RAVI SHANKAR PRASAD JI,Community Hall,"Construction of community hall at Andouli, TAMLUK",3573511.66,24-12-2024,26-08-2025,Jai Hind Infrastructure,Ongoing
WS/97914/2024/00833,Jammu And Kashmir,BARAMULLAH,ABHIJIT GANGOPADHYAY,Drainage / Nala,"Covered drain construction from Panchayat Bhavan Marg to Ram Nagar, BARAMULLAH",656980.32,04-02-2024,03-02-2025,National Builders & Contractors,Sanctioned
WS/28301/2025/00009,Jammu And Kashmir,JAMMU,VIKRAM SINGH RATHORE,School Building Repair,"Construction of additional classroom at Gandhi Chowk school, JAMMU",1638556.42,18-01-2025,08-11-2025,National Builders & Contractors,New Recommendation
WS/18050/2024/00631,West Bengal,KANTHI,VIKRAM SINGH RATHORE,Streetlight Installation,"Installation of streetlights at Andouli chowk, KANTHI",586891.84,22-12-2024,19-08-2025,Bharat Infra Solutions,New Recommendation
WS/40062/2023/00435,Uttar Pradesh,BADAUN,ABHIJIT GANGOPADHYAY,Community Hall,"Multipurpose community centre building at Gandhi Chowk panchayat, BADAUN",3045255.43,26-06-2023,25-07-2024,Sri Lakshmi Contractors,New Recommendation
WS/84177/2025/00092,Uttar Pradesh,VARANASI,ADV GOWAAL KAGADA PADAVI,Road Construction,Construction of concrete road from Panchayat Bhavan Marg to Kisan Nagar in VARANASI,2462505.62,03-02-2025,23-10-2025,Bharat Infra Solutions,Completed
WS/98907/2024/00136,West Bengal,KANTHI,MEERA IYER,Drainage / Nala,"Covered drain construction from Bazaar Road to Ambedkar Colony, KANTHI",780610.03,11-02-2024,07-12-2024,Ganesh Engineering Works,New Recommendation
WS/51853/2024/00165,Jammu And Kashmir,SRINAGAR,SANJAY DESHMUKH,School Building Repair,"Construction of additional classroom at Kisan Nagar school, SRINAGAR",1050219.02,14-03-2024,19-03-2025,National Builders & Contractors,New Recommendation
WS/75374/2024/00425,Uttar Pradesh,VARANASI,ADV ADOOR PRAKASH,Community Hall,"Multipurpose community centre building at Subhash Nagar panchayat, VARANASI",2678363.41,18-12-2024,10-08-2025,New India Construction Co.,Ongoing
WS/71824/2023/00292,West Bengal,KANTHI,ADHIKARI SOUMENDU,Road Construction,"CC road construction at Station Road ward, KANTHI",1342091.86,11-11-2023,25-01-2024,Bharat Infra Solutions,Completed
WS/71263/2024/00158,Jammu And Kashmir,BARAMULLAH,ADV ADOOR PRAKASH,Solar Light Installation,"Solar light installation near Station Road hanuman mandir, BARAMULLAH",272907.68,04-04-2024,13-03-2025,Jai Hind Infrastructure,New Recommendation
WS/70031/2025/00591,West Bengal,KANTHI,ADV K FRANCIS GEORGE,School Building Repair,"Repair and renovation of Govt. School building at Nehru Path, KANTHI",1230700.16,14-03-2025,08-02-2026,United Rural Builders,Sanctioned
WS/89498/2023/00869,Maharashtra,HINGOLI,ABDUL RASHID SHEIKH,Water Supply / Handpump,"Installation of handpump at Ram Nagar village, HINGOLI",721328.29,04-11-2023,28-05-2024,Metro Civil Works Pvt Ltd,New Recommendation
WS/22046/2023/00466,Jammu And Kashmir,BARAMULLAH,ADV DEAN KURIAKOSE,Community Hall,"Construction of community hall at Bazaar Road, BARAMULLAH",3724063.38,12-12-2023,08-06-2024,Bharat Infra Solutions,New Recommendation
WS/41179/2024/00498,Uttar Pradesh,VARANASI,AASHTIKAR PATIL NAGESH BAPURAO,School Building Repair,"Construction of additional classroom at Gandhi Chowk school, VARANASI",1096678.65,23-08-2024,27-07-2025,Shree Balaji Construction Co.,Sanctioned
WS/62941/2024/00555,Jammu And Kashmir,JAMMU,ADV K FRANCIS GEORGE,School Building Repair,"Repair and renovation of Govt. School building at Kisan Nagar, JAMMU",1204496.35,09-09-2024,17-07-2025,Metro Civil Works Pvt Ltd,Sanctioned
WS/13901/2025/00700,Jammu And Kashmir,SRINAGAR,SANJAY DESHMUKH,School Building Repair,"Repair and renovation of Govt. School building at Ambedkar Colony, SRINAGAR",1657291.36,30-11-2025,20-10-2026,Progressive Engineers & Contractors,New Recommendation
WS/31012/2025/00138,Bihar,GAYA,ABHIJIT GANGOPADHYAY,Water Supply / Handpump,"Installation of handpump at Nehru Path village, GAYA",792124.59,19-08-2025,20-12-2025,Bharat Infra Solutions,Completed
WS/47298/2024/00186,Jammu And Kashmir,JAMMU,ADV GOWAAL KAGADA PADAVI,Road Construction,"CC road construction at Ambedkar Colony ward, JAMMU",815754.19,02-11-2024,05-11-2025,Om Sai Infra Pvt Ltd,New Recommendation
WS/23621/2023/00376,Jammu And Kashmir,JAMMU,RAVI SHANKAR PRASAD JI,Road Construction,"CC road construction at Gandhi Chowk ward, JAMMU",1865786.23,02-11-2023,18-11-2024,Ganesh Engineering Works,Sanctioned
WS/28855/2023/00316,Bihar,PATNA_SAHIB,VIKRAM SINGH RATHORE,Streetlight Installation,"LED streetlight installation along Bazaar Road road, PATNA_SAHIB",424032.97,09-05-2023,04-10-2023,Bharat Infra Solutions,Sanctioned
WS/70637/2023/00020,Maharashtra,NANDURBAR(ST),ADITYA YADAV,Drainage / Nala,"Covered drain construction from Gandhi Chowk to Ram Nagar, NANDURBAR(ST)",782657.18,22-08-2023,24-05-2024,National Builders & Contractors,New Recommendation
WS/82856/2024/00203,West Bengal,KANTHI,ADV DEAN KURIAKOSE,Road Construction,"Widening and strengthening of road near Ambedkar Colony village, KANTHI",1746420.8,26-11-2024,24-04-2025,Progressive Engineers & Contractors,Sanctioned
WS/20917/2023/00681,Uttar Pradesh,BADAUN,ABHIJIT GANGOPADHYAY,Water Supply / Handpump,"Water supply pipeline extension to Subhash Nagar area, BADAUN",663104.83,01-10-2023,02-03-2024,Sri Lakshmi Contractors,Completed
WS/68034/2025/00416,Uttar Pradesh,VARANASI,ADV K FRANCIS GEORGE,Road Construction,"Widening and strengthening of road near Subhash Nagar village, VARANASI",2165001.81,05-12-2025,14-06-2026,United Rural Builders,New Recommendation
WS/73068/2025/00798,Uttar Pradesh,LUCKNOW,ADV GOWAAL KAGADA PADAVI,Community Hall,"Multipurpose community centre building at Ram Nagar panchayat, LUCKNOW",2941054.58,16-12-2025,05-01-2027,Ganesh Engineering Works,New Recommendation
WS/39110/2025/00422,West Bengal,KANTHI,VIKRAM SINGH RATHORE,Drainage / Nala,"Construction of drainage/nala near Bazaar Road area, KANTHI",1185955.21,24-10-2025,10-09-2026,Bharat Infra Solutions,Sanctioned
WS/75715/2023/00128,West Bengal,TAMLUK,MEERA IYER,Solar Light Installation,"Solar street light at Shanti Nagar chowk parisar, TAMLUK",300079.84,10-10-2023,21-05-2024,Jai Hind Infrastructure,Sanctioned
WS/91233/2023/00499,West Bengal,HOWRAH,MEERA IYER,Road Construction,Construction of concrete road from Panchayat Bhavan Marg to Station Road in HOWRAH,1822068.16,07-04-2023,09-10-2023,United Rural Builders,New Recommendation
WS/38266/2025/00141,West Bengal,MURSHIDABAD,VIKRAM SINGH RATHORE,School Building Repair,"Construction of additional classroom at Shanti Nagar school, MURSHIDABAD",1261487.56,14-10-2025,22-01-2026,Shree Balaji Construction Co.,New Recommendation
WS/73318/2024/00350,Uttar Pradesh,KANPUR,ADHIKARI SOUMENDU,Streetlight Installation,"LED streetlight installation along Ambedkar Colony road, KANPUR",320887.85,02-04-2024,10-04-2025,Shree Balaji Construction Co.,Ongoing
WS/40959/2024/00481,Bihar,PATNA_SAHIB,PRIYA VERMA,Water Supply / Handpump,"Installation of handpump at Station Road village, PATNA_SAHIB",309903.68,21-03-2024,16-11-2024,New India Construction Co.,New Recommendation
WS/18675/2025/00008,Kerala,KOTTAYAM,ABDUL RASHID SHEIKH,Drainage / Nala,"Covered drain construction from Gandhi Chowk to Bazaar Road, KOTTAYAM",1039622.33,03-07-2025,09-02-2026,Sri Lakshmi Contractors,New Recommendation
WS/78494/2024/00068,Maharashtra,NANDURBAR(ST),ABHIJIT GANGOPADHYAY,Streetlight Installation,"LED streetlight installation along Subhash Nagar road, NANDURBAR(ST)",493999.55,11-12-2024,11-12-2025,Jai Hind Infrastructure,Ongoing
WS/57428/2023/00122,Uttar Pradesh,KANPUR,SANJAY DESHMUKH,Community Hall,"Construction of community hall at Ram Nagar, KANPUR",1787933.43,22-04-2023,04-12-2023,National Builders & Contractors,Sanctioned
WS/80405/2023/00382,Maharashtra,AURANGABAD_MH,RAVI SHANKAR PRASAD JI,Drainage / Nala,"Covered drain construction from Station Road to Ram Nagar, AURANGABAD_MH",410911.64,06-04-2023,24-03-2024,Jai Hind Infrastructure,Sanctioned
WS/36972/2024/00240,Maharashtra,AURANGABAD_MH,ADITYA YADAV,School Building Repair,"Repair and renovation of Govt. School building at Nehru Path, AURANGABAD_MH",1229084.42,03-05-2024,04-07-2024,Deep Construction Co.,Ongoing
WS/78610/2024/00437,Uttar Pradesh,KANPUR,ABU TAHER KHAN,Water Supply / Handpump,"Water supply pipeline extension to Panchayat Bhavan Marg area, KANPUR",577501.3,26-11-2024,26-11-2025,Metro Civil Works Pvt Ltd,Sanctioned
WS/74923/2024/00084,Maharashtra,PUNE,VIKRAM SINGH RATHORE,Water Supply / Handpump,"Water supply pipeline extension to Andouli area, PUNE",839401.12,25-04-2024,07-01-2025,Progressive Engineers & Contractors,Ongoing
WS/91006/2024/00134,Maharashtra,AURANGABAD_MH,RAVI SHANKAR PRASAD JI,Solar Light Installation,"Solar street light at Shanti Nagar chowk parisar, AURANGABAD_MH",358525.4,21-09-2024,09-12-2024,Progressive Engineers & Contractors,New Recommendation
WS/39401/2025/00888,Maharashtra,HINGOLI,RAVI SHANKAR PRASAD JI,Community Hall,"Multipurpose community centre building at Andouli panchayat, HINGOLI",1756415.22,24-09-2025,23-06-2026,National Builders & Contractors,Completed
WS/36767/2023/00796,Jammu And Kashmir,SRINAGAR,AASHTIKAR PATIL NAGESH BAPURAO,Road Construction,Construction of concrete road from Shanti Nagar to Ram Nagar in SRINAGAR,2278773.46,11-06-2023,16-11-2023,Shree Balaji Construction Co.,Ongoing
WS/25314/2024/00665,Bihar,PATNA_SAHIB,ABU TAHER KHAN,Road Construction,Construction of concrete road from Vivekanand Marg to Andouli in PATNA_SAHIB,1339439.56,25-09-2024,03-07-2025,National Builders & Contractors,New Recommendation
WS/56095/2025/00294,Jammu And Kashmir,BARAMULLAH,ADV ADOOR PRAKASH,Streetlight Installation,"Installation of streetlights at Bazaar Road chowk, BARAMULLAH",293101.97,25-04-2025,24-12-2025,Jai Hind Infrastructure,Completed
WS/79226/2024/00218,Maharashtra,HINGOLI,ADHIKARI SOUMENDU,Road Construction,Construction of concrete road from Andouli to Gandhi Chowk in HINGOLI,1649759.27,18-06-2024,13-07-2025,New India Construction Co.,Completed
WS/44312/2023/00657,Maharashtra,HINGOLI,RAVI SHANKAR PRASAD JI,Water Supply / Handpump,"Installation of handpump at Kisan Nagar village, HINGOLI",628402.21,21-11-2023,05-03-2024,Metro Civil Works Pvt Ltd,Ongoing
WS/82465/2024/00274,Maharashtra,HINGOLI,ADV ADOOR PRAKASH,Road Construction,"CC road construction at Kisan Nagar ward, HINGOLI",1601999.8,27-04-2024,10-09-2024,National Builders & Contractors,Completed
WS/12758/2025/00883,West Bengal,MURSHIDABAD,ADHIKARI SOUMENDU,Drainage / Nala,"Construction of drainage/nala near Nehru Path area, MURSHIDABAD",812692.19,21-11-2025,22-04-2026,Progressive Engineers & Contractors,New Recommendation
WS/18569/2024/00756,Jammu And Kashmir,SRINAGAR,MEERA IYER,Drainage / Nala,"Construction of drainage/nala near Ram Nagar area, SRINAGAR",632676.59,16-04-2024,19-05-2025,National Builders & Contractors,Sanctioned
WS/52287/2025/00370,Jammu And Kashmir,JAMMU,ADV DEAN KURIAKOSE,Road Construction,"CC road construction at Bazaar Road ward, JAMMU",1361956.74,27-03-2025,13-08-2025,Shree Balaji Construction Co.,Ongoing
WS/45007/2025/00546,Uttar Pradesh,VARANASI,SANJAY DESHMUKH,Streetlight Installation,"LED streetlight installation along Ram Nagar road, VARANASI",563118.91,26-08-2025,13-03-2026,New India Construction Co.,New Recommendation
WS/59666/2023/00755,Jammu And Kashmir,BARAMULLAH,ADHIKARI SOUMENDU,Solar Light Installation,"Solar street light at Panchayat Bhavan Marg chowk parisar, BARAMULLAH",191626.01,13-07-2023,21-09-2023,Progressive Engineers & Contractors,Ongoing
WS/43557/2023/00912,Jammu And Kashmir,BARAMULLAH,ADV DEAN KURIAKOSE,Community Hall,"Construction of community hall at Ambedkar Colony, BARAMULLAH",6791111.94,01-10-2023,22-07-2024,Bharat Infra Solutions,Sanctioned
WS/31178/2025/00030,Maharashtra,NAGPUR,ADV DEAN KURIAKOSE,Road Construction,"CC road construction at Kisan Nagar ward, NAGPUR",806027.67,29-05-2025,02-10-2025,Progressive Engineers & Contractors,New Recommendation
WS/65058/2023/00739,Kerala,ERNAKULAM,VIKRAM SINGH RATHORE,Community Hall,"Multipurpose community centre building at Station Road panchayat, ERNAKULAM",2793142.28,15-05-2023,05-11-2023,Shree Balaji Construction Co.,New Recommendation
WS/95037/2025/00562,Kerala,IDUKKI,VIKRAM SINGH RATHORE,Water Supply / Handpump,"Installation of handpump at Shanti Nagar village, IDUKKI",213344.1,15-10-2025,26-10-2026,Shree Balaji Construction Co.,Ongoing
WS/80809/2024/00374,Kerala,IDUKKI,ABDUL RASHID SHEIKH,Water Supply / Handpump,"Installation of handpump at Kisan Nagar village, IDUKKI",819962.11,25-04-2024,21-08-2024,Sri Lakshmi Contractors,New Recommendation
WS/88924/2025/00805,Kerala,IDUKKI,ADV DEAN KURIAKOSE,Streetlight Installation,"Installation of streetlights at Bazaar Road chowk, IDUKKI",354961.85,26-02-2025,11-07-2025,Bharat Infra Solutions,Ongoing
WS/33508/2025/00219,Kerala,ERNAKULAM,ADV DEAN KURIAKOSE,Road Construction,Construction of concrete road from Vivekanand Marg to Andouli in ERNAKULAM,2371070.75,01-03-2025,20-09-2025,United Rural Builders,Completed
WS/59807/2023/00223,Maharashtra,AURANGABAD_MH,ADV GOWAAL KAGADA PADAVI,Solar Light Installation,"Solar light installation near Kisan Nagar hanuman mandir, AURANGABAD_MH",186257.42,15-06-2023,25-09-2023,Bharat Infra Solutions,Ongoing
WS/27001/2023/00504,West Bengal,KANTHI,SANJAY DESHMUKH,Streetlight Installation,"LED streetlight installation along Bazaar Road road, KANTHI",531509.09,22-12-2023,15-11-2024,Jai Hind Infrastructure,New Recommendation
WS/48466/2025/00955,Kerala,ATTINGAL,MEERA IYER,School Building Repair,"Construction of additional classroom at Gandhi Chowk school, VARANASI",1100504.72,07-12-2025,24-10-2026,Bharat Infra Solutions,Sanctioned
WS/54595/2024/00822,Kerala,ERNAKULAM,ADV ADOOR PRAKASH,Drainage / Nala,"Construction of drainage/nala near Kisan Nagar area, ERNAKULAM",533184.55,23-01-2024,06-05-2024,Om Sai Infra Pvt Ltd,Completed
WS/80686/2024/00015,Jammu And Kashmir,JAMMU,VIKRAM SINGH RATHORE,Streetlight Installation,"Installation of streetlights at Kisan Nagar chowk, JAMMU",224307.13,22-09-2024,27-09-2025,Sri Lakshmi Contractors,Ongoing
WS/33038/2025/00388,Kerala,KOTTAYAM,VIKRAM SINGH RATHORE,School Building Repair,"Repair and renovation of Govt. School building at Panchayat Bhavan Marg, KOTTAYAM",1023501.16,02-06-2025,04-01-2026,Metro Civil Works Pvt Ltd,Completed
WS/40765/2025/00693,Jammu And Kashmir,BARAMULLAH,ADHIKARI SOUMENDU,Streetlight Installation,"Installation of streetlights at Gandhi Chowk chowk, BARAMULLAH",371483.58,21-06-2025,20-03-2026,Metro Civil Works Pvt Ltd,New Recommendation
WS/31319/2023/00303,West Bengal,HOWRAH,PRIYA VERMA,Community Hall,"Construction of community hall at Ambedkar Colony, HOWRAH",2865059.92,13-07-2023,13-05-2024,Jai Hind Infrastructure,Ongoing
WS/41258/2025/00642,West Bengal,KANTHI,ADV GOWAAL KAGADA PADAVI,Water Supply / Handpump,"Installation of handpump at Ram Nagar village, KANTHI",312409.02,04-03-2025,06-03-2026,Ganesh Engineering Works,Sanctioned
WS/15726/2024/00135,Jammu And Kashmir,BARAMULLAH,ADHIKARI SOUMENDU,Solar Light Installation,"Solar light installation near Subhash Nagar hanuman mandir, BARAMULLAH",342495.97,30-12-2024,23-05-2025,Deep Construction Co.,Sanctioned
WS/31299/2023/00173,West Bengal,HOWRAH,ABU TAHER KHAN,Streetlight Installation,"LED streetlight installation along Subhash Nagar road, HOWRAH",551909.26,22-08-2023,05-04-2024,Jai Hind Infrastructure,New Recommendation
WS/62509/2025/00556,Maharashtra,NAGPUR,VIKRAM SINGH RATHORE,Road Construction,"CC road construction at Andouli ward, NAGPUR",1764314.61,13-11-2025,14-07-2026,New India Construction Co.,New Recommendation
WS/25765/2024/00312,Maharashtra,NAGPUR,ABDUL RASHID SHEIKH,Streetlight Installation,"Installation of streetlights at Ambedkar Colony chowk, NAGPUR",407048.97,11-09-2024,29-08-2025,Progressive Engineers & Contractors,Ongoing
WS/73699/2025/00014,Maharashtra,PUNE,ADV GOWAAL KAGADA PADAVI,Drainage / Nala,"Construction of drainage/nala near Ram Nagar area, PUNE",352132.65,16-09-2025,01-09-2026,Om Sai Infra Pvt Ltd,Completed
WS/29815/2024/00695,Maharashtra,AURANGABAD_MH,ADV ADOOR PRAKASH,School Building Repair,"Repair and renovation of Govt. School building at Kisan Nagar, AURANGABAD_MH",760951.0,14-03-2024,10-11-2024,Shree Balaji Construction Co.,New Recommendation
WS/96858/2023/00391,Kerala,KOTTAYAM,ABU TAHER KHAN,School Building Repair,"Repair and renovation of Govt. School building at Gandhi Chowk, KOTTAYAM",1101572.44,02-07-2023,21-03-2024,New India Construction Co.,Completed
WS/88134/2023/00519,Maharashtra,NAGPUR,ABDUL RASHID SHEIKH,Road Construction,"CC road construction at Bazaar Road ward, NAGPUR",1452119.39,28-06-2023,01-04-2024,Sri Lakshmi Contractors,Ongoing
WS/40007/2023/00017,Maharashtra,AURANGABAD_MH,RAVI SHANKAR PRASAD JI,Drainage / Nala,"Covered drain construction from Ram Nagar to Andouli, AURANGABAD_MH",829596.1,08-04-2023,13-07-2023,Deep Construction Co.,Completed
WS/71216/2024/00952,Bihar,PATNA_SAHIB,VIKRAM SINGH RATHORE,Community Hall,"Construction of community hall at Shanti Nagar, BARAMULLAH",1157906.42,22-03-2024,27-02-2025,Progressive Engineers & Contractors,New Recommendation
WS/75841/2023/00865,Maharashtra,PUNE,ADV ADOOR PRAKASH,Water Supply / Handpump,"Installation of handpump at Bazaar Road village, PUNE",774426.59,21-10-2023,18-08-2024,Deep Construction Co.,Completed
WS/99664/2025/00564,Maharashtra,NANDURBAR(ST),SANJAY DESHMUKH,Community Hall,"Construction of community hall at Bazaar Road, NANDURBAR(ST)",3528802.57,31-12-2025,22-09-2026,New India Construction Co.,Completed
WS/39937/2025/00273,Maharashtra,NAGPUR,ADHIKARI SOUMENDU,Community Hall,"Construction of community hall at Kisan Nagar, NAGPUR",1893274.95,31-05-2025,20-09-2025,Jai Hind Infrastructure,Completed
